batch_id,mapping_id,source_asset_id,itemId,external_item_id,model_id,role,proposed_destination_path,proposed_filename,image_position,collision_key,mapping_confidence,mapping_basis,mapping_status
ryderwear-batch2-2026-05-27-01,map-011,,,ryderwear_female_nkd_t_shirt,ryderwear_female_nkd_t_shirt,gallery_set,images/brands/ryderwear/women/nkd/tops/tee/slight-cropped/chocolate,multiple_or_unknown,1+,images/brands/ryderwear/women/nkd/tops/tee/slight-cropped/chocolate,high,existing_batch2_productdb_update_plan,pending_human_approval
ryderwear-batch2-2026-05-27-01,map-012,,,ryderwear_female_nkd_bodysuit_underwire_keyhole_cross_over_back_scrunch,ryderwear_female_nkd_bodysuit_underwire_keyhole_cross_over_back_scrunch,gallery_set,images/brands/ryderwear/women/nkd/bodysuit/construction/underwire/keyhole/sports-bra/vanilla,multiple_or_unknown,1+,images/brands/ryderwear/women/nkd/bodysuit/construction/underwire/keyhole/sports-bra/vanilla,high,existing_batch2_productdb_update_plan,pending_human_approval
ryderwear-batch2-2026-05-27-01,map-013,,,ryderwear_female_lift_2_0_leggings_foldover_ribbed_high_waisted,ryderwear_female_lift_2_0_leggings_foldover_ribbed_high_waisted,gallery_set,images/brands/ryderwear/women/non-nkd/bottoms/leggings/construction/scrunch/invisible/seamless/--collection/lift-2.0/bbl/berry,multiple_or_unknown,1+,images/brands/ryderwear/women/non-nkd/bottoms/leggings/construction/scrunch/invisible/seamless/--collection/lift-2.0/bbl/berry,high,existing_batch2_productdb_update_plan,pending_human_approval
ryderwear-batch2-2026-05-27-01,map-014,,,ryderwear_female_lift_2_0_shorts_foldover_ribbed_high_waisted,ryderwear_female_lift_2_0_shorts_foldover_ribbed_high_waisted,gallery_set,images/brands/ryderwear/women/non-nkd/bottoms/shorts/construction/scrunch/invisible/seamless/--collection/lift-2.0/bbl/apple-green,multiple_or_unknown,1+,images/brands/ryderwear/women/non-nkd/bottoms/shorts/construction/scrunch/invisible/seamless/--collection/lift-2.0/bbl/apple-green,high,existing_batch2_productdb_update_plan,pending_human_approval
ryderwear-batch2-2026-05-27-01,map-015,,,ryderwear_female_contour_sports_bra_rib_waistband_light_support,ryderwear_female_contour_sports_bra_rib_waistband_light_support,gallery_set,images/brands/ryderwear/women/non-nkd/tops/sports-bra/cut/halter/seamless/fabric/ultra-soft/--collection/contour/marl/berry,multiple_or_unknown,1+,images/brands/ryderwear/women/non-nkd/tops/sports-bra/cut/halter/seamless/fabric/ultra-soft/--collection/contour/marl/berry,high,existing_batch2_productdb_update_plan,pending_human_approval
ryderwear-batch2-2026-05-27-01,map-016,,,ryderwear_female_contour_shorts_foldover_ribbed_high_waisted,ryderwear_female_contour_shorts_foldover_ribbed_high_waisted,gallery_set,images/brands/ryderwear/women/non-nkd/bottoms/shorts/fabric/ultra-soft/seamless/scrunch/invisible/--collection/contour/high-waisted/marl/black,multiple_or_unknown,1+,images/brands/ryderwear/women/non-nkd/bottoms/shorts/fabric/ultra-soft/seamless/scrunch/invisible/--collection/contour/high-waisted/marl/black,high,existing_batch2_productdb_update_plan,pending_human_approval
ryderwear-batch2-2026-05-27-01,map-017,,,ryderwear_female_contour_leggings_foldover_ribbed_high_waisted,ryderwear_female_contour_leggings_foldover_ribbed_high_waisted,gallery_set,images/brands/ryderwear/women/non-nkd/bottoms/leggings/fabric/ultra-soft/seamless/scrunch/invisible/--collection/contour/high-waisted/marl/berry,multiple_or_unknown,1+,images/brands/ryderwear/women/non-nkd/bottoms/leggings/fabric/ultra-soft/seamless/scrunch/invisible/--collection/contour/high-waisted/marl/berry,high,existing_batch2_productdb_update_plan,pending_human_approval
ryderwear-batch2-2026-05-27-01,map-018,,,ryderwear_female_contour_track_pants_brushed_fleece_elastic_waistband_ankle_cuff,ryderwear_female_contour_track_pants_brushed_fleece_elastic_waistband_ankle_cuff,gallery_set,images/brands/ryderwear/women/non-nkd/bottoms/track-pants/fabric/ultra-soft/high-waisted/--collection/contour/black,multiple_or_unknown,1+,images/brands/ryderwear/women/non-nkd/bottoms/track-pants/fabric/ultra-soft/high-waisted/--collection/contour/black,high,existing_batch2_productdb_update_plan,pending_human_approval
ryderwear-batch2-2026-05-27-01,map-019,,,ryderwear_female_sculpt_shorts_foldover_ribbed_high_waisted_scrunch,ryderwear_female_sculpt_shorts_foldover_ribbed_high_waisted_scrunch,gallery_set,images/brands/ryderwear/women/non-nkd/bottoms/shorts/rise/high-waisted/scrunch/minimal/seamless/--collection/sculpt/azure,multiple_or_unknown,1+,images/brands/ryderwear/women/non-nkd/bottoms/shorts/rise/high-waisted/scrunch/minimal/seamless/--collection/sculpt/azure,high,existing_batch2_productdb_update_plan,pending_human_approval
ryderwear-batch2-2026-05-27-01,map-020,,,ryderwear_female_sculpt_leggings_foldover_ribbed_high_waisted_scrunch,ryderwear_female_sculpt_leggings_foldover_ribbed_high_waisted_scrunch,gallery_set,images/brands/ryderwear/women/non-nkd/bottoms/leggings/rise/high-waisted/scrunch/minimal/seamless/--collection/sculpt/azure,multiple_or_unknown,1+,images/brands/ryderwear/women/non-nkd/bottoms/leggings/rise/high-waisted/scrunch/minimal/seamless/--collection/sculpt/azure,high,existing_batch2_productdb_update_plan,pending_human_approval
ryderwear-batch2-2026-05-27-01,map-021,,,ryderwear_female_ultra_tank_top_mesh,ryderwear_female_ultra_tank_top_mesh,gallery_set,images/brands/ryderwear/women/non-nkd/tops/tank/mesh/--collection/legacy/ultra/tan,multiple_or_unknown,1+,images/brands/ryderwear/women/non-nkd/tops/tank/mesh/--collection/legacy/ultra/tan,high,existing_batch2_productdb_update_plan,pending_human_approval
ryderwear-batch2-2026-05-27-01,map-022,,,ryderwear_female_ultra_tank_top_scoop,ryderwear_female_ultra_tank_top_scoop,gallery_set,images/brands/ryderwear/women/non-nkd/tops/tank/scoop/--collection/legacy/ultra/tan,multiple_or_unknown,1+,images/brands/ryderwear/women/non-nkd/tops/tank/scoop/--collection/legacy/ultra/tan,high,existing_batch2_productdb_update_plan,pending_human_approval
ryderwear-batch2-2026-05-27-01,map-023,,,ryderwear_female_ultra_t_shirt_scoop,ryderwear_female_ultra_t_shirt_scoop,gallery_set,images/brands/ryderwear/women/non-nkd/tops/tee/slight-crop/--collection/legacy/ultra/tan,multiple_or_unknown,1+,images/brands/ryderwear/women/non-nkd/tops/tee/slight-crop/--collection/legacy/ultra/tan,high,existing_batch2_productdb_update_plan,pending_human_approval
ryderwear-batch2-2026-05-27-01,map-024,,,ryderwear_female_slouchy_off_shoulder_top,ryderwear_female_slouchy_off_shoulder_top,gallery_set,images/brands/ryderwear/women/non-nkd/tops/slouchy-off-shoulder-top/espresso,multiple_or_unknown,1+,images/brands/ryderwear/women/non-nkd/tops/slouchy-off-shoulder-top/espresso,high,existing_batch2_productdb_update_plan,pending_human_approval
ryderwear-batch2-2026-05-27-01,map-025,,,ryderwear_unisex_gym_bag_accessories,ryderwear_unisex_gym_bag_accessories,gallery_set,images/brands/ryderwear/women/accessories/pilates-gym-bag/vanilla,multiple_or_unknown,1+,images/brands/ryderwear/women/accessories/pilates-gym-bag/vanilla,low,existing_batch2_productdb_update_plan,manual_review_required
