"RelPath","LocalHash","RemoteHash","LocalSize","RemoteSize"
"index.php","C1FA4C1527314761DB187856D81227DB8550B1FD341B723A0BEC2E725238A646","0AB02D9B00F2411F8666C6A8C20CCEE2BADA0C1E226096BE15E7EF7891F5089C","17841","17391"
"layout.php","64B725A81D15D2C3F1DF8ADD14C9F11AE3891D177BB0CE7CDC91807C2823FE5E","D65D5A7F80A304C1CDFA244335ED2CF8AC464F003504036CDCF83B29C7861E6A","1123","1095"
"pane-controller.js","F3D254F914279E2F2BD54657712886A483BDE84E1E0500B2C03945ECE439124B","764AE4A0B9A9F6696AFFB02E67214D097260E154E857EEE7F2894AB6118DE498","1022","991"
"product.php","DB16D6482DF2409D45E2CF2CA40CE81B09D3D26667757CEB0759ECE4C1BEFBBD","ECC154DDDD51B0725B11F4093E8BAF6523008D75700F9E1E7E1BBA66830CF6D5","5829","5646"
"project-tree.txt","C41A2737778EE16DD30B445F96302F1705D1FBCC9B973BA98604991621B71949","236D4249A5484A22C043C8FD07A95B6BC72125D6C53DCD16B668069BAA87CEAA","44249","43808"
"project_filelist.csv","C57F278C761751C6C6020AA8D9CC5DABA9A2A0FBB9D3A520CFD10B9E8FAF79DB","B4C011FAFE5A563C9892D0C199472005FD5F8E0C4D32D590D20DE73536A205E3","40493","40057"
"README.md","9839C7D912F5A265EFF47404791881AF5C7F6FC2299FAD7FC3CA60FED96B0289","363799B288B9D4BB5D205B018F50B13704D0E06F4B1C7A14F518AFD5930AC10B","19264","18649"
"script.js","BC7A924FE85056C64FDAFA3AA69267B6BD883F84BC4279DBE3227CA89E833915","B0FB667DF8CAB04CC25EBDD76D550472C6127F904D943382B71D456B9F20E285","2387","2315"
"search.php","7F5C1C2B71DF065D97527BA077899E17084FE0116BA3903F795F88D212C8A582","5F07DB7DA725AAA9EB7A0CBA7C3DBA8FB0604A48C555C73FAF8E18262BD2DB6C","1428","1363"
"site-structure.txt","E39163DE4B93CF4210330B50BB8A1528D08ABD9CFA5AAF001F232A635B0A9F3C","915AF521F6E1E7D9E85AEF672A7679B5287F78A1EFA64DDADE61839ECDE8D6CC","21357","20709"
"test_db.php","393E849DD81CA857EEF199A54FCE3568D5B34B0AFF7E72058A3FAB2E7B1BB16D","04E2029ED3A869E701D77CDD8197F53358C64BBA81812008CFAFB096F7ECC2F2","286","276"
"_image-system_manifest.csv","992EA9A058BB3782ED8EC76975448EF71C3C5130B5D6B11D7B74E203845D1D42","E5F4DAD17BAF9D6176C48A1194C539B22DE09B224BD71AF4970ED9056A891BF9","5448","5392"
"_project_filelist.csv","099B1D40EA7108C74AB2C800611D0BAB9332434179442B31E7FFAB99FB48344C","D9651B7A2370B6D88DD11CD839FAF8569CDBA4BB97F3E3B2002EAE327B4EC9DC","49261","48809"
"_project_files.txt","159B6D94D2C66170769455831F855C7747F9E0980126E8D1A00259B89B408B6F","CE5FD89853817F6E7131B5165A80E6918EA2066837AC5CF8E30AC237DEDDDB66","23286","22835"
".devcontainer/php-dev.ini","83CAEEA8A3205FF78560D80A3BDA276C59316ED8B3A1826A6EB0C571F3542FA1","1B9F0C6B2964999A4352DEA2B73774B1E669A67D708E68544D23A30D4692F97F","197","186"
"config/color.php","3E8EC168E669D41430C8B6B79303CE53213E64CB9D0CFA5ED44DC235F79EFE7F","2D0DD6718CA36B49A978260228974DD5F83D675F38E4531ADD78B8507CE8F0A9","502","487"
"css/base.css","C00D73057D4A915C78C7488661C7ACE4B333EA6AD7EA0EB0F8B83B6E6C393BF8","6814011798851BDAE61C3EDABC5C88949D3BA341B2F02A296849115C2F4D5E0C","4771","4610"
"css/header.css","03293BDB7B90E7496867B6A6419749E8381CCEDE21F3E16F53C8487EFAC12975","0E3133497265D652204EE7C56F30D474FB26347739E13FFA28FB1100217A98EC","19226","18540"
"css/main.css","92EB9BBD6BC50F61A8BCF707EFF16841A8172FC2E2A0AA9A60484D72DE949529","6D4800865D88365BE51DB82DAE35ABCFB5085EB6BF31904D07B11FB3D0B49133","27844","26925"
"css/product.css","4F1762ACDCA765D9507DD2D990D5ACF4580E8C0FE0F884395B0C66454D5AEBB1","EA664E85882DDC000CA3D01A34FDC7A5431E07BCF0A2EF1E22D55ABD6C2CA01A","1536","1519"
"css/components/button.css","297260A9E2FB1DC12AEB00FB26BFCF6DA9EC29B012A8B7B92C70BFA5F720AF8F","17EA5AC7C329684F9B2ED55DC6AF6AD61192277D92B6B3F2C744C5364283A06E","4628","4449"
"css/components/filter.css","FD2E411A0CC6B3A00D89733C17BE908C40C74BBE259A1F450681E4D3641FB0C2","00EDFA40E697F202814832165CBD351C9AECE11F3EB341EF1A8CFE0BF4E8A7DE","8793","8467"
"css/components/md3-overrides.css","1C8880AEFC10B9CCC46BCD5730592BB523B8A6A343F42C5855DB1440B48644F3","BB28214FED0FEDF0A3F64549F74A2C6F01F2E1AB7CDFFE14D107DE2B47B0FA11","2004","1931"
"css/components/modal.css","8E6DEE63B069B015FDD181D8C6EED5E8E6FCAD014D8E256AEE2D3856D54A4B2A","03533DC4B8DA67B7C1381121EFE794F8194F499D035D21637EE9878AA8E055EC","1421","1400"
"css/components/pill.css","E2B3EE2B69ABBB2AD50FF37AE4352214EFB062B080C36B57DCEB18E220CC5AFC","AD04A10CF106606E117FCB64BDC752AE19CCB9EAC66B5A52D4C09AE1C83AE033","1819","1744"
"css/components/themes.css","9554C369FC5A333A8035FC3CF3B31C71B8D4B115C8D861CF4B4469DEC1805626","395A6E274C9B31F26E5BC5B4D7E8D2C6C660A07C7DCB75527812E9D26B8D85ED","4969","4807"
"css/components/cards/base.css","0B844A25EFC6BE6AA8B0BB3A65F1A3A9A92D70FA78A86DFD0968FB7A101003AF","9B039C0E27888B3414BAB5E2A8DABF2F9C876F099F6B92E944DCAFB92E155CA5","8088","7844"
"css/components/cards/layout.css","A26D85E93001D853A76EE547202CED4ED3B875426962BE57332809046D51804B","3D707120F4A3F11E5637EB2293550233A7477C421CB55FB8FD114397BB708BDC","2168","2092"
"css/components/cards/responsiveness.css","0E6722DB3A4E466C81907C6DC02CC73C4DE89A000D051BAC058355E4F54958BD","A61BBCBCD9923EF0591C734411225F7BE3FE9A59110CCB014E79CF20D7E0810D","1033","989"
"css/pages/product.css","8C56BD3126042635226593309B0BE42A9F59944D5967A88A166029DA554CB775","3319309682FE335C0850BF5E6E721F61E07311F682EA65DF4DA28FE6515577E7","2424","2309"
"db/sportswh_seed.sql","3428F37A2201902508F93135864AB190B1BB470EE0F7882EBEB2EC45EB1CD9E0","06DF4A9F5D41FE162EBC0758AD9B09C2B998E5BCD3274E78F0DCC61C0C46B6E1","378","365"
"docs/ai-usage.md","C1E9D6CEE9C5230C929FCF0025E1F617860F45A2254533EA64A3079F37C80ACC","291B9FDB7654A880AD7720D81CC616D252944151421709F8FD8EF3C3220D0632","1700","1661"
"docs/ai-context/2025-8-17-Mixed-Aspect-Ratio_Product_Cards_and_Detail_View.md","A8DC9A66E5BF6DD7BCA441D207CB87DC3E6C868465F185A6D4AFEFB99AFBD919","E106D6840A7F07105EB995C34B67D6CF132F31F12A34F1E61010D80FCEB84A88","9740","9615"
"docs/ai-context/content-planning-document.md","83885756CBD47178AF2472E6B487CF48EC02F805EC88457408146D962F26B0A3","9E2B5CB476610D318EE1711CC0D71A4BF16A8F2E8B7C11356FD3D255BA53E137","3230","3166"
"docs/ai-context/ddl.md","44C9AD973174CF480CA27D4B295AAD38B84E34C1BF42B0B82015EA2AF89CD9CD","A6ECAC7F309A6CE0EB23CB563EB4C15C6244037E4319E8ADD74A126EE97DBA37","3378","3283"
"docs/ai-context/MASTER.md","A2FE0874F7A05202E2CE88B6F31AA53ADFF5060E78CDCB2DDDD9EA91668C1FBB","4D0152290F66A9198BD07856D7CDDC12C7CBC3810D88BBD3DB10FB869A3E7DBC","6636","6451"
"docs/ai-context/pack-a.md","969EB99B8F5A3CC70F91CB7E2D0A27D85085A2964E892A4759AA2CB398B93B2C","D23F259FA312DA9960CB907CB8058EDF2520BB7149496FE8F035E07645BDA481","3147","3051"
"docs/ai-context/site-structure.md","B8AA34D5B89A95FE9AA135E2394DFF14749B35F78A6E329B40479EE845E3BB2C","E0161635C3F01607E75FC5A0D855D12873FE225A0C565DFCE31BB22E12338E2A","21383","20733"
"inc/catalog-query.php","D05BA16B1319303F9C18E309E34FB4A03C4B17AE6CD4679B99DE0CD21CD2E9B7","BE3788147C8EAC9089337D022A5BD90DF624A34832EC43CAFDA2FB5F097FC744","14142","13749"
"inc/color-groups.php","5342DDB6D22108A5176F9225B0F6F46EB7AA6A8AECC50E248521DBBB93AC5FA6","3A77F5FD7636BFF0A5563E70ABE97C0A28BF877CE9715809274793C02C686B0C","999","967"
"inc/color-normalize.php","0D3752E771FA9C6BF0757597EB9D688AA78439F37841C360AD155E035D76AAFB","4C6BF85AF37FF313948A48798B5E8A5726F48AE914081E22330350A4ACF31063","1328","1292"
"inc/color-where.php","A711781B7FC25CF6F7872940DEB7C8C961D5EFF50BE4040A8691FEDCD02CAB23","DD28600F56C765226182B9A7A547CD48254BD3FBAE59934CBB2AF4E84610E161","2903","2821"
"inc/env.php","6606C83D2D67D7D322CA051B8A54A939BB103C344C90A73A09DF916F1A43881C","BFB670EE78C681386D78F0021412EAA6EDFAF29F4F953E7E33B784653FCB804B","1154","1119"
"inc/filter-ui.php","557856D85A6CB12AE5EE6E1D703404029B4984942A74E819C893344120F20773","D59A5228278B14F6BB9BE6EA5E241A3691F62ACAABFB5CD7CF9B1A47D4139142","1793","1743"
"inc/footer.php","F7B10D93AECE7C3794612A5C89172CE3132E16BBF46089355B0F7A89570F0309","3E941DA0609C385448CBB1207ECBA2377399AD08FAC9C8264AE6CB0834597CBB","45120","44560"
"inc/head.php","048312ECC42E9704979D29FF16F246513F864B07219B801C2630C9C3D9766191","19376AC245077501933B93A31891DD3179ED82BA4DA007F29236AD53062CB250","1733","2124"
"inc/header.php","1BB9BFD11C56833AD3EB9434A6ECB4D4D10280B2EAA2A8B7A72325805EC76508","17118F33A8CBA03393A2DEB119B7C0B0058C26A4E3D7C85705F8B7B6E02E2D00","15345","14967"
"inc/hero.php","5D5C9CDEB29C2447875EAAE9BE48B7DDE573E34CE4C3468BC7D1B1F7F0842F51","D1FDD2B95ACA778EDD2AC7181B287BFE5401E1817083519F000D464E12C7215D","8635","8439"
"inc/image-headroom.php","CC5CD7C6CC2781E65E5649EE0B2091FE5A1213FD195F1C3574722E886378CD1F","C859C4A826BE34F6473CDFD81A60C72C117011930C502875248B95189E4FF7F7","1104","1079"
"inc/image-picker.php","025D2913D234FD5B463DA5EE9AF0BCBB90134ABF23ED40F8FC9C2EA710FFEB9A","C21A3868DF4FA61648C2B2AE54EF6F4068DD756113A6F5D8CE59816543120863","1888","1840"
"inc/site-config.php","4D99FB1CAE494A52049AC9DF26022D17CE9152CF18094DEA6D13E372167F5190","55BDFBFE30B1825D4CDADA866B9382948C2D42C7F28D022EE5A657435986D54B","10899","10580"
"inc/url.php","0A35937A686DC046916AB0D80275358DD8373467387413F81661001DEAA4A3E9","4B7BC98D2015B37211DC3DD893668D49D343A374F4919A7371EB180E28F5DBD5","409","467"
"inc/cards/product-grid.php","E0165D77A07678A458103B9AE07A60720473A5A436B4920F0D5AAD56FBD18592","9E796377FAC7A232A02D9B9D8E07174FAAB5C0B4D25D9AEEA22B446780A29239","12521","12201"
"inc/cards/utils.php","AD9FE205F746C4223F5554F3039A8AF1E2C63CA951A561FD5C31E349EA53EF8F","E0AC97B2AEC5E6A5B800927AA7AC862CF805671212E45BAAF9191A1EFA150E10","11008","10712"
"inc/filters/color-facets.php","7DDD3C8F47E18A0508DC02007128CCC059AD18BBA3D4C4D4EF6E3D2C0178FBFB","AF916355D9EC4F691A5AE3AC1C4C5AFD0658968D79138810B8BF7F65F9324311","9912","9658"
"inc/sidebar/layout.php","428DAC7EBD3F5FAB76A2D306B3C28E3E6E642F3908A078F6E410D1F24B9BD31A","1B9E9697D24AD524FA62E780F10688FF480F10D0CC2259351CE4D522B9F74825","990","963"
"inc/sidebar/adidas/carousel-bundle-hero.php","F38B968F5AA123481874B9D30E05178C25C412DFE67C4894B4A4AEBC80F7086B","78ACCF867B5C797C5C63D2D0E3E165375FD66B06C7C916BF918A6F4DDF2E1FAF","3410","3308"
"inc/sidebar/adidas/hyperglam.php","A0667AB2227920BF5B264197FD0FCF015D627049A3690D5402970B8C6BA11A0E","EC0E739DC9C68709FAFA3E854A2B043BD667AF4C47A9F20668299CDEA93991A4","5735","5609"
"inc/sidebar/adidas/jennie.php","49F0E0F3BB49EBDB41394657FB224846F9A6AB5281CA95B70D58D5F24DFB217F","3C1F60E1BE0C2F7BF1B2BCB94B5517377C2026F27A198FF38B86CE23292ABA2D","5318","5187"
"inc/sidebar/adidas/kids.php","CC4F532D5954936C67A487F5CFCB71AEA6290C632FEF6D384857FF30FCCDE218","1BBA2BA242BD853076C7E76180975DA31100D2657C44C45175A80679E2AA5553","3281","3205"
"inc/sidebar/adidas/mens.php","6E8C1A23B4A3D7783F733A58F03F6D6B594D6015CE6B7BD41F5839DF4014A28D","CA13132934D01E6F90763B6B7551799F9760F679A65E36A1DA1D5CC82FD89682","2675","2613"
"js/dark-mode.js","65E9B1C75F150BD4D266120B086914B7222C903A76B0336ED575F96C3522E2F4","FA8FC07502D66B16A5DE1C6CA85FE3B1C62AD8413861A845DD53E48FF349C80E","338","327"
"js/filter-ui.js","097416C639C80D6948D5C950E0AAC8064BF2E39A6C35E9377D1934FD6576AD21","FAFFBBCC3FA27B44A89E78A373B1B840CCFD0503BD1D006431C8FB2F6A0AE02B","6553","6352"
"js/image-lazy.js","4046670C6A7EFFC0AC0040A60A422CBB57F076FFF610FD5282AD40B17BDE5956","3B3707FA0B37DFCCC5922240D67F8F9401733A975B1492268141EF8131773E1B","563","543"
"js/orientation-utils.js","AB87209AACBBCF81EA495ED481C2E1DD83FB816B37749B7EE9E35F8918E4226A","113D4706380D51B0FE9A83FB4253BC810E3FC2BC23E249E24C601D5B0AB19957","1347","1301"
"js/site-ui.js","DDF2EACCF16E1C0062D0336E2B0465D564E4647447DC90B9DEB36191FF9C6B64","39CB2EA253C072D4C389AF42A25C18CF8CB6B087E22A3F47AECFDDEC0677F787","9629","9351"
"scripts/color-tag-images.php","C6B5A5708346D4395F0A2AF0DF3A9C07332221FAE5436CC67374CFEC69240EA6","5D0D9ACEC9A830482E482369D2EE4D53CAD0CD3793C8C4EEB219999E4BCFABA7","14600","14190"
"scripts/generate-item-orientations.php","715D3D572E4D9D6A274EA24FCE66646B198B202E21FACD6502C792D19978ADA6","55B13AACBE9473CD9AA55AAB87AA53E1D5DF3C6D498E3CA6415AF6EAE412E2F4","2327","2249"
"scripts/git-hygiene.bat","69177C7499C4B8FC40B3D0DE654141B8DA4AB6F72057D7352E5DEF0B735F37CE","E7B05AA6082FD9E5BBE347A5641078ED81DF3B6B7453139C2A50274C52BF8C5C","2924","2828"
"scripts/git-hygiene.ps1","E4A69E5FD09C24907EBEFCF64E0A89CBC13D6930B0AE37FED40841E44364158F","370C44912CCA3D48E0E2F133E0C2458DA42C5764923F75CAC61C6E10AB37F5EF","3689","3580"
"scripts/import_orientations.php","D8F755C9C8A85EFF93E939F54B90255444DBA0EC3F270CC9833420D3745BC21C","B78D2EC0E8F88DB6BB3FD9596762A2EE78E29602ED305179097B2F5685B1246C","4165","4030"
"scripts/item_orientations.csv","E1BDF699E99B12E4ED8A7310E533551EE621650E3881D14AB6300E6E7033A159","5B99191E62650FAE03597327AD30961D84509FBE88E3DEF6BEF4A1832A2D243F","905","891"
"scripts/item_orientations_adidas.csv","78A3C7E9056F3DE7805C95D975FDF242AE1CEAADB7D8A490645A532908A8A0CC","DE45B700D81B98CF862F442A1C9B7F1571F77162D07054A81D3B92FC530BD65D","70","69"
"scripts/rebuild-image-meta.php","23AA50C1CFFC8852DF9DFD70337C6C8F0F752F1965C40FAAA96E655172F7BE97","5313857FC85AE2E65E4E67FD1884E4627BB6890AECE8AF9342DA7D982B843846","4030","3896"
"scripts/update-orientations.php","B6E5F632D9DDCEAF7B080BF1B3F4DBBC03F7A68585B3D359C755982F3B4A633E","71BD27A8C29217AAB1D0FC5A122CCA01EA6D875076C001BA8D36E3820647F36F","4393","4254"
"sql/category-sync/apply.sql","249E907316E3D540A38ED18F7FEF6D7290DB29CC6CE8AE8A3F724665AAE273AF","2C0A0586CC0C9A3F816F165439FD08112FD76B97B8DC0E57E3C14F3A1B11FE1F","2401","2318"
"sql/category-sync/audit.sql","74BF871962370AEA93921FC00A7B72E40DD5B497DD9914E740D42812BCE1CB4B","CD58F86242A83486666A0CC1C089DA97C678D9FB85395487DAE9EB1FAF3DE0D1","2272","2195"
"sql/category-sync/dry-run.sql","E5803A10034346E7708F23E908D8474B56B1F3C30767B5E243F096A597251F7D","B0736DDD18357B69B6FA5BBA90251DD90B120F29006B03EBBEA669008DDA1819","1369","1323"
"sql/category-sync/open_in_dbeaver.bat","2400A5BE2520E19BD63F9481F8AB5EDCB9CC00638033DBC2CAF5EC0773FBE83E","C8044E07A6196FB96BFA64823A86E96F842B2A61131D571E65F436B932C7045F","490","467"
"sql/category-sync/run_all.bat","D3F01329DF796CCFE2B7D18CD3B6397D42924B4F0562E47FD68B93DDC5DACA34","7D1CD2067CB43B68AC4EE3E8C5B7BC089C1418499913D1CC18E146C952BD44A7","3900","3769"
"src/assets/sass/main.css","2C7D369DC4F470C891CB67A06D76975741842D983CADDEFA3CE4202C9CF98B69","8D3BB23FB6771F87486E7D72E27F931E3B3218BF6329C5D06DFB52E683E5DD9E","10513","10512"
"tests/local-only/.htaccess","A0C7B6CBDA5854FE78C2E4FD5135A4F36A000FB185CB117E83B1FF61FDA41F2A","18E440D4C98177C47488A2623A2BDCFE34FB67B3C81F55952DF4F1CCC3A31611","40","37"
"tests/local-only/dbtest.php","93A6301F2AB0383B0468BA0C18FED4FF646ED8DAACED1560DC5356AC1FF89095","DFFDA93C05C9BC734D279E79C28D7704BA9B1457E51C1D47F3122ECE9A37DDE3","1426","1384"
"tests/local-only/phpinfo.php","509E41120EF7DFF8D3D27C8A44C3C391A96117A587FC0BB4C8EDD0CFF7B8FB6C","C7E4792F53414681E8514BF946E9C410CA5875D2B7A7F4F3AF28FDB3415613EF","53","49"
"tools/check-base.php","41E7E233B211FC3B4EFD30B4674FE15D3DE8890A0D9E4B8C99E219C7790F5AA0","A634B62424E39AFBFD427A55AA3EB0F988D3988EF53FE14B5D8BF7B2733783D3","260","253"
"_exports/largest-100.txt","A89D3F70737C31E90393660699DF5465503FC73B88FDD782774693DD6A80F4EA","A53DB01F22BA00D5E68D54A847424A536AA448851BF1269EB42C2188600B1394","12350","12244"
"_exports/site-inventory.csv","F9DB3CE7537F4931E149EDAF8A1755AD1B42497007436F9FED012FDA8E1A91F1","4C478B4991E129A987899B76E6D6C9FA1EBDE60D24C56DE6482E9E8A86A7D265","4241616","4225787"
"_exports/site-tree.txt","D470C4B72C4B1C24C9425311DA13395A6DC17E30D0E77980D79FC904BF7A027E","0FDB80CA1C4F18DAFEB2EE9161CA201E37E2F8D8E0705EB14EB5E629D58646C1","896318","877327"
"_exports/SportsWarehouse_code-manifest_2025-08-31.csv","A9B962AA4F7C045878BD13495F865B133FCAF74956BF444E94502D74A2C546AF","0DA741FF479D9C8C3DDBCCCFD0C0D4D462834165F3BE840AA2983A6B9596F607","7945","7880"
"_exports/SportsWarehouse_file-list_2025-08-31.txt","5BD68A40E126FEF1DEC5BC33B8BC4056B1786CBFD1276EBFA6AFD003E7415010","D1BA51DBD849DCB881ABA184734C8659FE0ED3AAC0A77CA142D60E75E0208A7A","1650","1586"
"_exports/deploy/sportswh-manifest-20250918-1536.txt","BF4FFD66EB065215DD75BDECCFB067EE12EC38BF33C5043BF59E015BD9BA6F85","3E499816C76AAA6124B6021A1FD48B1A03C0883B1EB8B5DA3ACCE60473CFBC70","42724","42335"
"_tools/export-code-with-structure.ps1","F8B7DF605E6DBA5100F77F69716BFA32B4920C54A2D789E41BCFF4147A668F28","D9AD8B481051AD8C8EEA5BDC66D3ECFD83443A1D0336CB5F02720F23EDEADEDD","2945","2872"
